date,close,volume
2024-02-09,15.5,211100
2024-02-12,15.44,269300
2024-02-13,15.04,190600
2024-02-14,15.2,155100
2024-02-15,15.57,181600
2024-02-16,15.62,147300
2024-02-20,16.09,284600
2024-02-21,18.0,974600
2024-02-22,16.63,609900
2024-02-23,16.84,457300
2024-02-26,17.3,263800
2024-02-27,17.88,211600
2024-02-28,17.43,230900
2024-02-29,17.97,333700
2024-03-01,18.26,397600
2024-03-04,18.33,249300
2024-03-05,18.73,410100
2024-03-06,19.0,480800
2024-03-07,19.9,787900
2024-03-08,20.51,618400
2024-03-11,20.99,444900
2024-03-12,21.0,401200
2024-03-13,20.98,281300
2024-03-14,21.71,636600
2024-03-15,21.58,770600
2024-03-18,22.38,748600
2024-03-19,23.19,796600
2024-03-20,22.82,773900
2024-03-21,23.41,952700
2024-03-22,22.96,467300
2024-03-25,23.04,601300
2024-03-26,22.94,531300
2024-03-27,23.21,453900
2024-03-28,23.25,718600
2024-04-01,23.64,606100
2024-04-02,24.1,444200
2024-04-03,24.01,387600
2024-04-04,24.26,360600
2024-04-05,25.42,784000
2024-04-08,25.06,828800
2024-04-09,24.71,629200
2024-04-10,24.8,730000
2024-04-11,25.65,595100
2024-04-12,25.07,504800
2024-04-15,24.88,409200
2024-04-16,25.17,406500
2024-04-17,25.11,495200
2024-04-18,25.2,454200
2024-04-19,25.24,558100
2024-04-22,25.34,805600
2024-04-23,26.25,654100
2024-04-24,26.64,719800
2024-04-25,26.44,476500
2024-04-26,27.0,394000
2024-04-29,26.84,495200
2024-04-30,26.76,847100
2024-05-01,27.33,495200
2024-05-02,28.21,642500
2024-05-03,28.14,504700
2024-05-06,29.08,650500
2024-05-07,29.21,629200
2024-05-08,29.91,573100
2024-05-09,37.97,4006500
2024-05-10,36.41,1786600
2024-05-13,35.6,1452000
2024-05-14,37.01,1116700
2024-05-15,36.7,827800
2024-05-16,37.82,782000
2024-05-17,37.64,633700
2024-05-20,38.97,725700
2024-05-21,40.93,1030300
2024-05-22,39.61,745500
2024-05-23,40.6,602000
2024-05-24,40.53,597300
2024-05-28,40.4,819900
2024-05-29,41.39,636600
2024-05-30,41.86,760700
2024-05-31,41.38,937100
2024-06-03,43.11,1007900
2024-06-04,42.97,891100
2024-06-05,44.64,683400
2024-06-06,43.57,573200
2024-06-07,41.83,589900
2024-06-10,41.17,1689000
2024-06-11,41.11,809700
2024-06-12,42.15,587300
2024-06-13,41.44,485700
2024-06-14,40.39,763600
2024-06-17,42.38,676100
2024-06-18,42.46,641200
2024-06-20,41.38,586900
2024-06-21,42.33,567500
2024-06-24,44.74,875700
2024-06-25,45.72,867600
2024-06-26,46.22,951900
2024-06-27,44.23,1063800
2024-06-28,46.77,1639000
2024-07-01,45.48,1318300
2024-07-02,43.84,972400
2024-07-03,44.89,296900
2024-07-05,44.0,487900
2024-07-08,45.79,722700
2024-07-09,45.81,688400
2024-07-10,45.3,758800
2024-07-11,44.09,654900
2024-07-12,43.24,596500
2024-07-15,42.68,935400
2024-07-16,42.53,970000
2024-07-17,41.22,815600
2024-07-18,40.44,666500
2024-07-19,39.4,1288700
2024-07-22,39.0,1046200
2024-07-23,38.68,601000
2024-07-24,37.05,607600
2024-07-25,37.12,961100
2024-07-26,36.12,1700600
2024-07-29,36.82,855700
2024-07-30,36.23,587100
2024-07-31,36.49,1048500
2024-08-01,36.51,729300
2024-08-02,34.93,758600
2024-08-05,33.56,1027400
2024-08-06,35.36,1200300
2024-08-07,34.72,2096700
2024-08-08,31.5,3054300
2024-08-09,30.47,2059700
2024-08-12,30.96,1786000
2024-08-13,30.55,1079200
2024-08-14,31.6,932400
2024-08-15,30.6,942100
2024-08-16,31.05,1421600
2024-08-19,31.32,764900
